标题,布局,面积,方向,层数,详细地址,经纪人公司,经纪人,平米价格,总价,地理位置,经度,纬度
竹木厂 西马庄 正规三居 业主诚售 102平米2 ,3室1厅1卫,102.0㎡ ,南北,高层(共6层),竹木厂小区-通州-通燕高速,北京通正家园房地产经纪有限公司,刘莎莎,20588元/㎡,210万,北京市通州区竹木厂小区,116.625791,39.911000
急售房山燕山 迎风四里 精装两居 商品房没税 5 ,2室1厅1卫,58.0㎡ ,东西,低层(共6层),迎风一里-房山-迎风街,北京德馨乐居房地产经纪有限公司,倪龙沙,22068元/㎡,128万,北京市房山区迎风一里,115.953882,39.733144
代理费1 三期独栋别墅 毛坯 有加建带电梯 ,7室3厅6卫,670.0㎡ ,南北,共3层,珠江壹千栋-昌平-定泗路99号,北京宏星房地产经纪有限公司,牛瑞贤,27611元/㎡,1850万,北京市昌平区珠江壹千栋,116.385316,40.119540
长阳 天恒水岸 有山有水有树林 有品质有商业 ,4室2厅3卫,220.0㎡ ,南北,共5层,天恒水岸壹号-房山-揽秀南大街,北京汇鑫伟业房地产经纪有限公司,陈姚姚,50000元/㎡,1100万,北京市房山区天恒水岸|1号,116.156822,39.712772
东城 国瑞城低层商品两居室 满五年 采光无遮挡  ,2室1厅1卫,69.08㎡ ,西,低层(共16层),国瑞城中区-崇文-国瑞东路23号,北京中原房地产经纪有限公司,刘跃斌,92646元/㎡,640万,北京市东城区国瑞城中区,116.422871,39.898373
8号线地铁旁，精装修公寓，特价房30平15万/  ,1室1厅1卫,50.0㎡ ,南北,中层(共6层),五福家园-昌平-百沙路199号,北京市全荣居房地产经纪有限公司,张含嫣,16000元/㎡,80万,北京市昌平区五福家园,116.265930,40.145658
东三环 华威桥 翌景嘉园 高档小区 三室两厅两卫 ,3室2厅2卫,181.0㎡ ,东北,低层(共28层),翌景嘉园-朝阳-东三环南路21号,北京鸿基建业房地产经纪有限公司,杨容庆,60773元/㎡,1100万,北京市朝阳区翌景嘉园,116.459195,39.873078
《好房源》北街家园一区大三居室，自住装修，采光好 ,3室1厅1卫,89.0㎡ ,南北,低层(共18层),天朗园(北街家园一区)-昌平-高教园北二街,北京优速房地产经纪有限公司,刘帅,40449元/㎡,360万,北京市昌平区天朗园,116.266632,40.163185
刚需+养老，通州高端住宅+南北通透，采光好+总价 ,3室2厅2卫,89.0㎡ ,南北,中层(共20层),K2十里春风-通州-漷小路,北京悦成房地产经纪有限公司,迟雪梅,25730元/㎡,229万,北京市通州区,116.656435,39.909946
"景园大厦+不临街观景两居室,带南向,精装修保养好 ",2室2厅3卫,164.0㎡ ,西南,中层(共19层),景园大厦-朝阳-景园小街1号,北京海宇世纪房地产经纪有限公司朝阳第一分部,殷振兴,67073元/㎡,1100万,北京市朝阳区景园大厦,116.473000,39.935800
保利花园南区 123平290万独立3居南北通透  ,3室2厅2卫,123.0㎡ ,南北,低层(共6层),保利花园(南区)-密云-阳光街,北京吉永达房地产经纪有限公司,霍海英,23577元/㎡,290万,北京市密云区保利花园南区,116.864174,40.369139
燕郊首尔房子 单价1.2万+地铁旁边+精装修+随 ,2室2厅1卫,77.0㎡ ,南北,高层(共26层),"燕达首尔国际村-北京-燕顺路,近京秦高速",三河市顺心置地房产经纪有限公司,宋伟超,11558元/㎡,89万,北京市朝阳区国际村,116.450305,39.968023
朱辛庄地铁6层电梯房20万，纯南向，采光好，家电 ,1室1厅1卫,37.0㎡ ,南,低层(共6层),朱辛庄北区-昌平-朱辛庄东路,廊坊信和置地房地产经纪有限公司,李洋,26756元/㎡,99万,北京市昌平区朱辛庄北区,116.310508,40.100370
北六环金品四合院，依山傍水，环境优美，交通便利， ,3室1厅3卫,200.0㎡ ,南,共1层,畅金园四合院-昌平-崔河路,王庄地产经纪人有限公司,陈旭,8400元/㎡,168万,北京市昌平区畅金园四合院,116.351098,40.199660
"漫香苑店双卧室客厅朝南,眼.镜房户型,宽敞大气 ",3室2厅2卫,141.0㎡ ,南北,地下(共8层),金色漫香苑-昌平-天权路2号,北京豪宅天下房地产顾问有限责任公司,常丽丽,42553元/㎡,600万,北京市昌平区金色漫香苑,116.426448,40.130622
华龙小区，婚房装修，全明一居室，南北通透，首付1 ,1室1厅1卫,52.0㎡ ,南北,高层(共6层),华龙小区-通州-潞苑南大街230号,北京晟铭阁房地产经纪有限公司,刘杰,45192元/㎡,235万,北京市通州区通州华龙小区,116.688447,39.930554
使用面积180平 装修70万 家具家电随房 有钥 ,3室2厅1卫,125.62㎡ ,西南,低层(共6层),阳光邑上-房山-良乡东路56号,北京华熙房地产经纪有限公司,曹晓艳,39802元/㎡,500万,北京市房山区阳光邑上别墅,116.159765,39.729693
